Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),FDC ID
CHICKEN,107.0,21.4,0.0,1.79,2038064
"Chicken, chicken roll, roasted",164.0,26.68,0.0,6.33,2706087
Orange chicken,262.0,14.46,22.46,12.68,2706443
Biryani with chicken,104.0,7.15,13.55,2.38,2706538
"Soup, chicken",40.0,3.44,4.04,1.14,2707134
Chicken feet,215.0,19.4,0.2,14.6,2706085
Chicken skin,450.0,20.19,0.0,40.34,2706084
"Chicken, back",298.0,25.73,0.0,20.8,2706081
"Chicken, ground",201.0,27.14,0.0,10.31,2706091
"Chicken, tail",454.0,20.36,0.0,40.68,2706083
Almond chicken,195.0,15.66,4.46,13.16,2706797
Barbecue chicken,167.0,19.0,12.23,4.64,2706434
Chicken cornbread,167.0,13.78,9.38,8.21,2708745
Chicken curry,107.0,6.48,6.54,6.48,2706437
Chicken kiev,280.0,21.31,5.45,19.21,2706445
Chicken spread,158.0,18.0,4.05,17.6,173858
Chicken with gravy,129.0,18.88,1.58,5.21,2706428
"Chicken, meatless",936.0,23.6,3.64,12.7,169886
Chili with chicken,100.0,14.11,2.41,3.71,2706426
"Chimichanga, chicken",304.0,12.5,25.76,16.42,2708589
"Empanada, chicken",309.0,12.57,27.45,16.46,2708713
"Enchilada, chicken",178.0,10.03,14.64,9.02,2708568
"Fajita, chicken",206.0,11.33,17.99,9.8,2708604
"Fat, chicken",3770.0,0.0,0.0,99.8,173564
"Frankfurter, chicken",223.0,15.5,2.74,16.2,171624
"Liver, chicken",189.0,20.02,6.48,8.69,2706154
"Nachos, chicken",242.0,11.2,19.87,13.33,2708580
"Quesadilla, chicken",287.0,14.45,27.32,12.99,2708593
Sesame chicken,293.0,14.33,26.88,14.25,2706444
"Stew, chicken",84.0,9.24,6.29,2.34,2706678
"Tamale, chicken",174.0,7.38,15.8,9.04,2708573
"Taquito, chicken",269.0,12.53,31.61,10.41,2708601
Chicken or turkey with dumplings,144.0,15.69,8.04,5.55,2706543
Chicken or turkey with stuffing,172.0,20.04,11.74,4.88,2706544
Chicken or turkey fricassee,121.0,10.68,3.54,7.16,2706429
Chicken with mole sauce,137.0,18.97,3.22,5.58,2706439
Kung pao chicken,129.0,9.76,6.87,6.98,2706796
Chicken or turkey cacciatore,174.0,13.19,6.92,10.62,2706421
Chicken or turkey divan,140.0,15.51,4.01,7.26,2706789
General Tso chicken,295.0,12.9,23.99,16.36,2706794
"Fast foods, chicken tenders",271.0,19.2,17.2,14.0,173321
"Chicken fillet, grilled",151.0,22.31,2.36,5.81,2706090
Turkey or chicken sausage,193.0,19.65,1.09,12.24,2706200
"Chicken wing, rotisserie",257.0,23.42,0.6,18.04,2706060
"Chicken wing, sauteed",265.0,23.13,0.0,18.39,2706064
"Chicken wing, stewed",247.0,22.6,0.0,16.69,2706061
"Chicken, neck or ribs",245.0,19.45,0.0,17.95,2706082
"Chicken fillet, breaded",240.0,14.62,14.86,13.58,2706089
"Chicken nuggets, NFS",307.0,15.92,14.93,20.36,2706092
"Chicken patty, breaded",287.0,14.85,12.84,19.58,2706088
Baby Toddler chicken,130.0,13.7,0.1,7.9,2706151
"Bologna, chicken, pork",336.0,10.3,4.19,30.6,173873
"Bratwurst, chicken, cooked",738.0,19.4,0.0,10.4,172957
"Burrito bowl, chicken",161.0,21.04,0.27,8.11,2708560
"Burrito, chicken, cheese",244.0,13.74,28.33,8.06,2708543
Chicken as ingredient in recipes,182.0,28.06,0.0,7.34,2710782
Chicken curry with rice,116.0,4.96,15.12,4.0,2706438
Chicken or turkey hash,110.0,9.57,8.27,4.1,2706527
Chicken or turkey parmigiana,174.0,16.25,8.3,8.34,2706442
Chicken or turkey souffle,171.0,11.72,5.59,11.33,2706546
Chicken or turkey tetrazzini,119.0,11.96,6.96,4.79,2706534
Chicken or turkey with teriyaki,163.0,25.73,1.62,5.96,2706433
Chicken salad spread,200.0,11.64,7.41,13.52,2706221
"Chicken, canned, no broth",772.0,25.3,0.9,8.1,171110
"Chicken, feet, boiled",215.0,19.4,0.2,14.6,171119
"Chicken, for use with vegetables",164.0,26.79,0.0,6.36,2710242
"Chicken, ground, raw",598.0,17.4,0.04,8.1,171116
"Chicken, meatless, NFS",224.0,23.64,3.64,12.73,2707468
Chili with chicken and beans,99.0,10.2,10.25,2.08,2706425
"DENNY'S, chicken strips",1240.0,19.2,22.0,14.5,169022
"Empanada, chicken, with vegetables",283.0,7.35,29.91,15.09,2708714
"Gravy, CAMPBELL'S, chicken",215.0,0.79,5.87,2.73,171600
"Gravy, chicken, dry",381.0,11.3,62.1,9.73,171567
"KFC, Popcorn Chicken",351.0,17.7,21.2,21.7,170737
Lasagna with chicken or turkey,205.0,13.74,14.01,10.37,2708756
"Lo mein, with chicken",130.0,9.15,16.15,3.15,2708803
"McDONALD'S, Chicken McNUGGETS",302.0,15.8,15.1,19.8,173297
Mock chicken legs,242.0,21.54,8.04,13.59,2705911
"Nachos, chicken, with beans",203.0,9.62,18.26,10.48,2708581
Pad Thai with chicken,154.0,8.13,14.36,7.5,2708806
"Pot pie, chicken",255.0,9.24,23.95,13.54,2706703
"Quesadilla, chicken, with vegetables",270.0,11.29,28.22,12.14,2708596
Ramen bowl with chicken,126.0,7.04,15.4,3.86,2709155
"Rice, fried, with chicken",173.0,7.28,27.62,3.66,2708953
"Soup, chicken noodle",53.0,3.84,6.21,1.4,2709149
"Soup, chicken, canned",33.0,2.02,4.86,0.72,2707133
"Soup, cream of chicken",91.0,4.0,6.79,5.42,2707137
"Stew, chicken, with pasta",108.0,10.24,10.81,2.49,2706677
"WENDY'S, Chicken Nuggets",1360.0,16.5,14.3,22.6,170725
"Chicken fillet sandwich, NFS",281.0,12.17,27.48,13.46,2707000
"Chicken nuggets, from frozen",298.0,13.36,17.88,19.23,2706096
"Chicken tenders or strips, NFS",271.0,19.22,17.25,13.95,2706098
Chicken or turkey with mushroom sauce,136.0,19.29,1.84,5.7,2706432
Chicken or turkey and potatoes with gravy,122.0,7.47,9.04,6.35,2706528
Sweet and sour chicken or turkey,250.0,10.1,23.86,12.65,2706435
"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing",63.0,8.52,2.99,1.94,2706818
Chicken salad sandwich on wheat,245.0,13.08,17.06,13.83,2706991
Chicken salad sandwich on white,246.0,12.42,18.32,13.7,2706990
Chicken salad sandwich wrap,269.0,12.89,16.99,16.56,2706992
"Chicken wing, baked, coated",260.0,21.42,3.98,16.87,2706069
"Chicken wing, grilled with sauce",250.0,19.03,7.28,15.49,2706063
"Chicken, canned, meat only",185.0,25.3,0.9,8.1,2706086
"Chicken nuggets, from restaurant",307.0,15.92,14.93,20.36,2706094
"APPLEBEE'S, chicken tenders platter",1240.0,19.6,18.0,16.2,169841
"Babyfood, dinner, chicken and rice",51.0,1.6,9.2,0.9,169054
"Babyfood, meat, chicken, junior",612.0,14.0,0.0,9.6,172248
"Babyfood, meat, chicken, strained",545.0,13.7,0.1,7.9,173483
"Bologna, chicken, pork, beef",1140.0,11.3,5.61,22.7,173872
"Bologna, chicken, turkey, pork",298.0,9.88,5.65,26.2,172970
"BURGER KING, Chicken Strips",292.0,18.2,20.5,15.2,170731
"Burrito bowl, chicken, with beans",135.0,13.6,6.94,5.87,2708562
"Burrito bowl, chicken, with rice",155.0,12.46,14.21,5.0,2708561
"Burrito, chicken, with beans, cheese",203.0,11.45,23.87,6.71,2708545
"Burrito, chicken, with rice, cheese",215.0,10.76,28.24,6.2,2708544
"CHICK-FIL-A, chicken sandwich",1040.0,16.3,20.9,11.2,170790
Chicken egg foo yung,137.0,12.79,4.78,7.38,2707194
Chicken or turkey and noodles with gravy,140.0,6.99,15.23,5.67,2706530
"Chicken or turkey and noodles, no sauce",148.0,7.73,15.47,6.14,2706529
"Chicken or turkey and rice, no sauce",149.0,6.46,16.97,5.84,2706537
Chicken or turkey cordon bleu,210.0,22.64,9.29,9.17,2706441
Chicken or turkey salad with egg,228.0,13.81,2.73,18.06,2706801
Chicken or turkey with cheese sauce,173.0,21.77,1.64,8.9,2706440
Chicken or turkey with cream sauce,157.0,19.82,2.75,7.48,2706431
"Chicken patty, frozen, cooked",1200.0,14.8,12.8,19.6,171513
"Chicken patty, frozen, uncooked",292.0,14.3,13.6,20.0,171512
"Chicken, capons, giblets, raw",130.0,18.3,1.42,5.18,174465
"Chicken, ground, with additives, raw",,17.9,0.0,7.16,2514746
"Chicken, meatless, breaded, fried",234.0,21.3,8.51,12.8,167719
"Chicken, roasting, giblets, raw",127.0,18.1,1.14,5.04,172396
"Chicken, stewing, giblets, raw",168.0,17.9,2.13,9.21,173641
Dressing with chicken or turkey and vegetables,217.0,8.2,20.97,11.17,2708748
"Egg roll, with chicken or turkey",266.0,7.59,27.02,14.09,2708703
"Fast foods, quesadilla, with chicken",1230.0,15.0,24.0,15.2,170765
"KFC, Crispy Chicken Strips",1150.0,20.2,13.7,15.4,170341
"Lasagna, with chicken or turkey, and spinach",201.0,13.51,13.76,10.14,2708757
Macaroni or pasta salad with chicken,213.0,7.82,20.94,10.75,2708946
"Pate, chicken liver, canned",201.0,13.4,6.55,13.1,172928
"Restaurant, Chinese, chicken and vegetables",95.0,8.18,5.38,4.56,167678
"Restaurant, Chinese, lemon chicken",1050.0,11.9,20.6,13.6,167674
"Restaurant, Chinese, orange chicken",1100.0,14.5,22.5,12.7,167679
"Restaurant, Chinese, sesame chicken",293.0,14.3,26.9,14.2,168087
"Soup, chicken noodle, canned",42.0,2.38,6.02,0.98,2709148
"T.G.I. FRIDAY'S, chicken fingers",325.0,18.7,16.8,20.3,169019
Taco or tostada salad with chicken,167.0,7.83,16.29,8.02,2708509
Turkey or chicken and pork sausage,307.0,22.7,0.7,23.0,2706202
"Turnover or hot pocket, chicken",215.0,10.71,24.49,8.21,2708740
"WEND'YS, Crispy Chicken Sandwich",278.0,11.7,26.4,13.9,170770
Chicken or turkey and rice with cream sauce,136.0,8.13,12.78,5.86,2706539
"Chicken fricassee, Puerto Rican style",172.0,12.13,7.17,10.65,2706710
"Chicken nuggets, from fast food",307.0,15.92,14.93,20.36,2706093
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",130.0,11.44,9.5,5.46,2706816
"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing",64.0,10.1,3.04,1.33,2706810
"Chicken deli sandwich or sub, restaurant",176.0,13.72,24.28,2.66,2706988
"Chicken breast, rotisserie, skin not eaten",144.0,28.04,0.0,3.57,2705964
Meat loaf made with chicken or turkey,172.0,18.77,8.08,7.27,2706547
"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing",115.0,6.31,7.08,6.85,2706819
"Chicken, prepackaged or deli, luncheon meat",98.0,17.4,2.92,1.86,2706208
"Chicken ""wings"", plain, from precooked",294.0,18.62,7.15,20.59,2706075
"Chicken breast, rotisserie, skin eaten",175.0,26.37,0.09,7.67,2705963
"Chicken breast, sauteed, skin eaten",206.0,25.72,0.0,10.62,2705971
"Chicken breast, sauteed, skin not eaten",176.0,29.62,0.0,5.45,2705972
"Chicken breast, stewed, skin eaten",181.0,24.7,0.0,8.28,2705965
